111.044136 Framedifference 8   Time 39439
111.828354 Framedifference 8   Time 39447
112.83883 Framedifference 8   Time 39455
113.61574 Framedifference 9   Time 39464
114.908844 Framedifference 8   Time 39472
114.3721 Framedifference 9   Time 39481
114.49594 Framedifference 9   Time 39490
113.804985 Framedifference 9   Time 39499
114.70828 Framedifference 9   Time 39508
115.52589 Framedifference 7   Time 39515
116.033714 Framedifference 9   Time 39524
115.67005 Framedifference 9   Time 39533
115.80681 Framedifference 8   Time 39541
115.912384 Framedifference 9   Time 39550
116.03158 Framedifference 8   Time 39558
112.4232 Framedifference 13   Time 39571
112.35276 Framedifference 9   Time 39580
113.15932 Framedifference 8   Time 39588
113.02102 Framedifference 9   Time 39597
113.51421 Framedifference 8   Time 39605
113.61269 Framedifference 9   Time 39614
114.38263 Framedifference 8   Time 39622
114.45805 Framedifference 9   Time 39631
114.84399 Framedifference 9   Time 39640
115.519875 Framedifference 8   Time 39648
116.39076 Framedifference 8   Time 39656
116.173134 Framedifference 9   Time 39665
116.989365 Framedifference 8   Time 39673
116.93454 Framedifference 8   Time 39681
117.71553 Framedifference 8   Time 39689
116.85498 Framedifference 9   Time 39698
117.40442 Framedifference 8   Time 39706
116.99957 Framedifference 9   Time 39715
117.573 Framedifference 9   Time 39724
116.30791 Framedifference 9   Time 39733
115.856674 Framedifference 9   Time 39742
116.275826 Framedifference 8   Time 39750
116.46245 Framedifference 9   Time 39759
115.93846 Framedifference 9   Time 39768
115.32586 Framedifference 9   Time 39777
115.37283 Framedifference 8   Time 39785
113.98692 Framedifference 10   Time 39795
114.9902 Framedifference 8   Time 39803
113.59528 Framedifference 10   Time 39813
114.22032 Framedifference 8   Time 39821
113.218285 Framedifference 10   Time 39831
113.406075 Framedifference 9   Time 39840
113.01808 Framedifference 9   Time 39849
113.574585 Framedifference 9   Time 39858
113.04616 Framedifference 8   Time 39866
112.37831 Framedifference 10   Time 39876
112.22739 Framedifference 9   Time 39885
110.11968 Framedifference 11   Time 39896
109.77965 Framedifference 9   Time 39905
108.00758 Framedifference 11   Time 39916
108.247665 Framedifference 10   Time 39926
107.06058 Framedifference 10   Time 39936
107.35307 Framedifference 9   Time 39945
107.70844 Framedifference 9   Time 39954
104.34407 Framedifference 14   Time 39968
103.815956 Framedifference 9   Time 39977
104.46429 Framedifference 9   Time 39986
103.01926 Framedifference 12   Time 39998
99.79643 Framedifference 14   Time 40012
99.54447 Framedifference 10   Time 40022
100.866394 Framedifference 9   Time 40031
105.40771 Framedifference 7   Time 40038
108.10801 Framedifference 7   Time 40045
112.11324 Framedifference 7   Time 40052
114.54772 Framedifference 8   Time 40060
115.107 Framedifference 8   Time 40068
116.0955 Framedifference 8   Time 40076
118.17719 Framedifference 7   Time 40083
119.84371 Framedifference 8   Time 40091
120.754654 Framedifference 7   Time 40098
122.57597 Framedifference 7   Time 40105
123.64437 Framedifference 8   Time 40113
125.011604 Framedifference 7   Time 40120
124.64467 Framedifference 9   Time 40129
124.197205 Framedifference 8   Time 40137
123.962425 Framedifference 8   Time 40145
124.35008 Framedifference 8   Time 40153
122.79295 Framedifference 9   Time 40162
123.054985 Framedifference 8   Time 40170
122.70727 Framedifference 8   Time 40178
(time 40178- lastadded -60)      true
Circle added
(time 40178- lastadded -60)      true
Circle added
(time 40178- lastadded -60)      true
Circle added
(time 40178- lastadded -60)      true
Circle added
119.362656 Framedifference 12   Time 40190
115.853745 Framedifference 11   Time 40201
115.64192 Framedifference 9   Time 40210
114.27654 Framedifference 10   Time 40220
111.163414 Framedifference 12   Time 40232
112.30312 Framedifference 8   Time 40240
113.71275 Framedifference 8   Time 40248
114.91065 Framedifference 8   Time 40256
114.844376 Framedifference 9   Time 40265
116.34095 Framedifference 7   Time 40272
114.9455 Framedifference 10   Time 40282
114.49554 Framedifference 9   Time 40291
114.193634 Framedifference 9   Time 40300
114.07348 Framedifference 9   Time 40309
113.25705 Framedifference 9   Time 40318
112.02762 Framedifference 11   Time 40329
108.26533 Framedifference 13   Time 40342
104.82845 Framedifference 13   Time 40355
105.437546 Framedifference 9   Time 40364
106.34873 Framedifference 9   Time 40373
103.1392 Framedifference 13   Time 40386
102.49996 Framedifference 11   Time 40397
103.49647 Framedifference 9   Time 40406
100.48595 Framedifference 13   Time 40419
100.11562 Framedifference 11   Time 40430
101.06343 Framedifference 9   Time 40439
101.63369 Framedifference 9   Time 40448
102.770836 Framedifference 9   Time 40457
102.53062 Framedifference 10   Time 40467
102.29101 Framedifference 10   Time 40477
103.23059 Framedifference 9   Time 40486
102.71459 Framedifference 10   Time 40496
102.973526 Framedifference 9   Time 40505
102.270065 Framedifference 11   Time 40516
100.141426 Framedifference 12   Time 40528
100.38098 Framedifference 10   Time 40538
100.459816 Framedifference 10   Time 40548
101.07587 Framedifference 10   Time 40558
101.19594 Framedifference 9   Time 40567
100.9411 Framedifference 11   Time 40578
101.46959 Framedifference 9   Time 40587
101.0057 Framedifference 10   Time 40597
101.236664 Framedifference 10   Time 40607
101.12901 Framedifference 10   Time 40617
100.971886 Framedifference 11   Time 40628
101.04828 Framedifference 9   Time 40637
101.22197 Framedifference 9   Time 40646
101.94293 Framedifference 10   Time 40656
102.066795 Framedifference 9   Time 40665
102.239136 Framedifference 10   Time 40675
101.93132 Framedifference 10   Time 40685
101.083725 Framedifference 11   Time 40696
101.417076 Framedifference 9   Time 40705
101.90462 Framedifference 10   Time 40715
101.658775 Framedifference 10   Time 40725
100.92919 Framedifference 10   Time 40735
100.66455 Framedifference 10   Time 40745
100.9573 Framedifference 10   Time 40755
100.49212 Framedifference 11   Time 40766
100.4328 Framedifference 10   Time 40776
100.21656 Framedifference 10   Time 40786
99.06246 Framedifference 11   Time 40797
99.018234 Framedifference 10   Time 40807
98.74269 Framedifference 11   Time 40818
98.13943 Framedifference 10   Time 40828
96.97912 Framedifference 12   Time 40840
97.22735 Framedifference 10   Time 40850
97.039024 Framedifference 11   Time 40861
96.91513 Framedifference 10   Time 40871
96.93679 Framedifference 10   Time 40881
96.69288 Framedifference 11   Time 40892
96.49236 Framedifference 10   Time 40902
96.17215 Framedifference 11   Time 40913
95.40722 Framedifference 11   Time 40924
95.42143 Framedifference 11   Time 40935
95.55038 Framedifference 10   Time 40945
95.42685 Framedifference 11   Time 40956
94.36679 Framedifference 11   Time 40967
